lat,lon,storage_type,storage_potential,pga_score,fault_score,site_vulnerability,srf_a_tectonic,risk_category_a,srf_b_geotechnical,risk_category_b,srf_c_shaking,risk_category_c
48.80833871,125.0136652,DSA,20.78039932,1.0122819729630432,2.3957111677860468,9.769376180122,3.4554154118063365,Moderate,4.791805494791227,Moderate,2.30302015212584,Low
48.79961593,125.0799503,DSA,33.46770096,0.989210236804456,2.4495476219610177,9.043777218045095,3.3302923256308645,Moderate,4.503104506332024,Moderate,2.2327681504754886,Low
48.79086286,125.1462172,DSA,39.61059952,0.9572209050428808,2.4950825636793392,8.911702928136881,3.31704813897991,Moderate,4.4465860460077735,Moderate,2.2140276049432184,Low
48.78207949,125.212466,DSA,40.7057991,0.9240586986011484,2.439874380599306,9.27845040090173,3.352844880060344,Moderate,4.568978515921013,Moderate,2.2142425734306537,Low
48.77326585,125.2786966,DSA,40.7057991,0.8953821520631483,2.3859038445661698,9.488833061820973,3.359333180266224,Moderate,4.630866854466882,Moderate,2.201883750789837,Low
48.76442194,125.344909,DSA,41.79430008,0.8685709025322395,2.3523536092194792,9.83013392580634,3.4027748605306796,Moderate,4.749952653179328,Moderate,2.2098620168658214,Low
48.75554777,125.411103,DSA,41.79430008,0.8299635951764242,2.2818774540735727,9.42730096230828,3.27538799805137,Moderate,4.559281313808596,Moderate,2.125271489558754,Low
48.74664335,125.4772786,DSA,40.69910049,0.8299635951764242,3.892414024483264,10.0,4.195196090794559,Moderate,5.110468242967222,Moderate,2.6657023644508335,Low
48.73770868,125.5434359,DSA,42.38169861,0.8162312351004692,4.719252376371909,10.0,4.604495558716096,Moderate,5.270342969314569,Moderate,2.905514453971854,Low
48.72874379,125.6095746,DSA,42.38169861,0.8146084288615757,5.332319878715911,10.0,4.910542468016429,Moderate,5.3923073472878125,Moderate,3.0884610209317187,Moderate
48.71974867,125.6756948,DSA,27.08250046,0.8093951574623821,5.686975539292298,10.0,5.086306316884864,Moderate,5.461153170843413,Moderate,3.1917297562651186,Moderate
48.71072333,125.7417964,DSA,15.97159958,0.8149499365792884,5.843464942861836,9.60667750768198,5.087552953941101,Moderate,5.337343966276874,Moderate,3.2026771955743216,Moderate
48.7016678,125.8078794,DSA,15.97159958,0.8135522006955791,2.209608242748075,9.742067524368668,3.297283286456445,Moderate,4.664169538575314,Moderate,2.1252205456786366,Low
48.69258207,125.8739437,DSA,15.97159958,0.8325049396729333,2.2179467293852446,9.601185460843748,3.278961938763252,Moderate,4.617065506083722,Moderate,2.125005528703708,Low
48.68346615,125.9399892,DSA,15.97159958,0.8367892904909345,2.2263067491111195,9.79914138702454,3.324018439107748,Moderate,4.699633620828413,Moderate,2.1498797377303505,Low
48.67432005,126.0060159,DSA,15.97159958,0.8532387310237431,2.2346954786198587,9.021272730714394,3.1775739047599307,Moderate,4.396743680419227,Moderate,2.0844791552716426,Low
48.66514379,126.0720238,DSA,15.97159958,0.8841214551969795,2.243105791510228,10.0,3.3867893323142075,Moderate,4.802269740380837,Moderate,2.203404610571256,Low
48.65593737,126.1380127,DSA,15.97159958,0.902157676741619,2.2515399929012405,10.0,3.396417299473106,Moderate,4.811171069276895,Moderate,2.2167566039153437,Low
48.64670081,126.2039827,DSA,15.97159958,0.931025358828076,2.2599986470416717,10.0,3.4093069311692585,Moderate,4.824409872939565,Moderate,2.236614809409347,Low
48.6374341,126.2699337,DSA,15.97159958,0.9633323674424764,2.2684845989877704,10.0,3.423242009726628,Moderate,4.839029866774545,Moderate,2.258544800161817,Low
48.62813727,126.3358656,DSA,15.97159958,0.9933503475233388,2.276994475155014,10.0,3.4365023418345086,Moderate,4.852739034040338,Moderate,2.2791085510605074,Low
48.61881032,126.4017784,DSA,15.97159958,1.04789786489008,2.287019520155426,10.0,3.457879119544737,Moderate,4.8765630499871175,Moderate,2.314844574980676,Low
48.76454629,125.0004909,DSA,28.50629997,1.0278729406644838,2.410669680840252,10.0,3.5136967226194713,Moderate,4.893283112433844,Moderate,2.3399246686507658,Low
48.75582779,125.0667325,DSA,30.69000053,1.000248789976976,2.464843466049612,9.046842353354208,3.3418648406887406,Moderate,4.511805150542396,Moderate,2.2442865491364903,Low
48.74707901,125.1329559,DSA,33.46770096,0.971717946868862,2.479938658451184,8.804868773820928,3.2924584680504365,Moderate,4.406622419966153,Moderate,2.2074992430387654,Low
48.73829995,125.1991613,DSA,40.7057991,0.9404811026778026,2.463586212525344,9.27845040090173,3.369627517246359,Moderate,4.580289843936882,Moderate,2.2312095654544577,Low
48.72949063,125.2653485,DSA,40.7057991,0.9082768043202184,2.3717501012854525,9.928129980592882,3.443984088057368,Moderate,4.80891273422233,Moderate,2.249304111037055,Low
48.72065106,125.3315174,DSA,39.61059952,0.8685709025322395,2.3192944104431734,9.565651884142635,3.333348852809786,Moderate,4.637547996758585,Moderate,2.1734960530665592,Low
48.71178124,125.3976681,DSA,40.69910049,0.8489727760508237,3.243344217220217,9.27677981463339,3.7317199043520333,Moderate,4.698969879717729,Moderate,2.4100649122598985,Low
48.70288119,125.4638004,DSA,40.69910049,0.8359734624901352,3.78933279384895,9.958297509657063,4.137117937602929,Moderate,5.075574947628669,Moderate,2.634213666614472,Low
48.6939509,125.5299143,DSA,42.38169861,0.828667733308331,4.867253258703717,10.0,4.682226949344358,Moderate,5.304917745064076,Moderate,2.957376617596114,Low
48.6849904,125.5960098,DSA,42.38169861,0.828667733308331,5.603648706020242,10.0,5.05042467300262,Moderate,5.452196834527381,Moderate,3.178295251791071,Moderate
48.6759997,125.6620868,DSA,42.38169861,0.8279684124481592,5.953678649752298,9.84759989612518,5.194749827835633,Moderate,5.460963053379796,Moderate,3.267644632007103,Moderate
48.66697879,125.7281453,DSA,42.38169861,0.8314951190575759,2.2418824378050437,10.0,3.3703897546197945,Moderate,4.780974535184039,Moderate,2.171461802776059,Low
48.65792769,125.7941851,DSA,41.28649902,0.8333758156527793,2.250346939460257,10.0,3.3751862144259626,Moderate,4.783419714153164,Moderate,2.1751295712297445,Low
48.64884641,125.8602063,DSA,44.06420135,0.8549594394065498,2.258835729237513,10.0,3.3859056964407213,Moderate,4.793750921610123,Moderate,2.190626382415184,Low
48.63973497,125.9262088,DSA,44.06420135,0.8625891167021851,2.267346328380108,10.0,3.3924498992007095,Moderate,4.798504912356895,Moderate,2.1977573685353433,Low
48.63059336,125.9921925,DSA,42.96910095,0.8837715160198268,2.275886285038823,9.849295767039964,3.3729337507333526,Moderate,4.748404170231681,Moderate,2.1979583718275393,Low
48.62142159,126.0581574,DSA,29.08040047,0.9002093894626927,2.284448435708268,10.0,3.412287034692942,Moderate,4.816973442926731,Moderate,2.225460164390096,Low
48.61221969,126.1241034,DSA,29.08040047,0.92224036663883,2.293038070055443,10.0,3.4231911450193704,Moderate,4.8275037606666205,Moderate,2.2412556409999307,Low
48.60298765,126.1900305,DSA,27.98530006,0.9460182525953932,2.30165106534157,10.0,3.434631008449403,Moderate,4.838737514106471,Moderate,2.258106271159707,Low
48.59372549,126.2559386,DSA,15.97159958,0.9726598282753306,2.3102907880330767,10.0,3.4469433424991376,Moderate,4.851122088916748,Moderate,2.2766831333751214,Low
48.58443321,126.3218277,DSA,15.97159958,0.9988339820227542,2.3189539304235507,10.0,3.4591271598186015,Moderate,4.863324378893812,Moderate,2.294986568340718,Low
48.57511083,126.3876977,DSA,15.97159958,1.0488035815132877,2.328699098616245,10.0,3.4789906237621087,Moderate,4.885261252328564,Moderate,2.327891878492846,Low
48.72942818,124.9211186,DSA,8.76138973,1.0530199235269662,2.3723875745032297,8.552504726734025,3.2126007096565097,Moderate,4.316687375005042,Moderate,2.198778699140551,Low
48.72074423,124.9873347,DSA,28.50629997,1.0447521054203432,2.425720084314704,8.850978060281577,3.2964812858397705,Moderate,4.443436083143709,Moderate,2.2396650945747747,Low
48.71203001,125.0535327,DSA,30.69000053,1.0171741533145071,2.480233044322792,8.419176111618894,3.229103990479527,Moderate,4.270586714837919,Moderate,2.196292016447431,Low
48.70328552,125.1197127,DSA,30.69000053,0.9901153961161951,2.46454886624451,8.804868773820928,3.290282806721299,Moderate,4.410903441223752,Moderate,2.213920774925163,Low
48.69451077,125.1858747,DSA,39.61059952,0.9550460838953376,2.410405477506151,9.124446617974089,3.3166058875164945,Moderate,4.513878176249001,Moderate,2.2085939553864566,Low
48.68570577,125.2520185,DSA,39.61059952,0.9235341380865878,2.3574619544075657,9.739484185200014,3.403688055669762,Moderate,4.736699720196154,Moderate,2.235307487694224,Low
48.67687054,125.3181441,DSA,39.61059952,0.8836281119792434,3.2755276400259703,9.447433807087103,3.7923390150241785,Moderate,4.787530295631733,Moderate,2.4575785399040475,Low
48.66800507,125.3842515,DSA,39.61059952,0.8649008614776736,3.2999452446538595,8.770322303008225,3.6635073413718766,Moderate,4.514078314725132,Moderate,2.3859563205835848,Low
48.65910938,125.4503406,DSA,40.69910049,0.8551729426717914,3.5491421675807624,9.567795011102804,3.9446819688124792,Moderate,4.879015615025991,Moderate,2.5346259169875838,Low
48.65018348,125.5164113,DSA,42.38169861,0.8501317840690708,5.060212806499331,10.0,4.785145938470387,Moderate,5.352095274927494,Moderate,3.0281429123912416,Moderate
48.64122738,125.5824636,DSA,42.38169861,0.8545538945735521,5.949533576712111,10.0,5.231132956728121,Moderate,5.531728273171843,Moderate,3.2975924097577645,Moderate
48.63224108,125.6484974,DSA,42.38169861,0.8545538945735521,6.238279065877279,10.0,5.375505701310705,Moderate,5.589477371004877,Moderate,3.3842160565073147,Moderate
48.6232246,125.7145128,DSA,41.28649902,0.8570418632080846,2.283197776813932,10.0,3.3987114473693913,Moderate,4.79945630064602,Moderate,2.1991844509690304,Low
48.61417794,125.7805096,DSA,44.06420135,0.8631418282958365,2.2918147717021564,10.0,3.404849934339829,Moderate,4.803619685658766,Moderate,2.205429528488149,Low
