Long,Lat,Vs30
110.3574918,18.82762975,299.7435138
110.4017377,18.82474013,265.5697702
110.4459801,18.82182685,259.6398113
110.4902191,18.8188899,262.7675456
107.5657507,19.00405953,394.0997111
107.6101817,19.00266678,421.3590388
107.6546109,19.00125015,407.5035765
107.6990384,18.99980963,416.4461295
107.7434643,18.99834522,425.3886826
107.7878883,18.99685694,410.5518915
107.8323106,18.99534478,390.7798844
107.8767311,18.99380874,371.0078774
107.9211497,18.99224883,375.9668471
107.9655664,18.99066504,381.2087018
108.0099813,18.98905739,386.4505565
108.0543942,18.98742587,391.6924112
108.0988052,18.98577048,396.934266
108.1432142,18.98409123,396.3913261
108.1876212,18.98238813,392.3054343
108.2320262,18.98066116,388.2195426
108.276429,18.97891034,384.1336508
108.3208298,18.97713567,380.0477591
108.3652285,18.97533715,375.9618674
108.409625,18.97351479,375.7422286
108.4540194,18.97166857,376.5201674
108.4984115,18.96979852,377.2981062
108.5428014,18.96790463,378.0760449
108.587189,18.9659869,378.8539837
108.6315743,18.96404534,379.6319225
108.6759574,18.96207996,382.774302
108.720338,18.96009074,416.5305172
108.7647163,18.9580777,477.9363485
108.8090922,18.95604084,545.3651057
108.8534657,18.95398016,611.8955183
108.8978367,18.95189566,670.655249
108.9422052,18.94978736,673.249519
108.9865712,18.94765524,682.7850751
109.0309346,18.94549932,692.1617761
109.0752955,18.94331959,697.7573745
109.1196538,18.94111607,699.9170047
109.1640094,18.93888875,695.2472024
109.2083624,18.93663764,676.6589373
109.2527127,18.93436274,588.1428065
109.2970603,18.93206405,486.8492461
109.3414051,18.92974158,534.312876
109.3857472,18.92739533,600.2539177
109.4300865,18.92502531,552.8328881
109.4744229,18.92263151,445.9672949
109.5187565,18.92021394,434.7732323
109.5630873,18.91777261,488.7304445
109.6074151,18.91530752,546.090861
109.6517399,18.91281867,546.4065096
109.6960619,18.91030607,538.1411773
109.7403808,18.90776971,519.3835579
109.7846967,18.90520961,483.5133787
109.8290095,18.90262577,459.7414151
109.8733193,18.90001818,443.0214798
109.9176259,18.89738687,447.8135794
109.9619295,18.89473182,474.5741991
