lat,lon,storage_type,storage_potential,final_risk_score,pga_level,fault_lambda,amplification_method,pga_score,fault_score,site_vulnerability,analysis_type,risk_category,w1,w2,w3
48.75554777,125.411103,DSA,41.79430008,3.27538799805137,10%,200.0,boore,0.8299635951764242,2.2818774540735727,9.42730096230828,weight_sensitivity,Moderate,0.3,0.5,0.2
48.74664335,125.4772786,DSA,40.69910049,4.195196090794559,10%,200.0,boore,0.8299635951764242,3.892414024483264,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.73770868,125.5434359,DSA,42.38169861,4.604495558716096,10%,200.0,boore,0.8162312351004692,4.719252376371909,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.72874379,125.6095746,DSA,42.38169861,4.910542468016429,10%,200.0,boore,0.8146084288615757,5.332319878715911,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.71974867,125.6756948,DSA,27.08250046,5.086306316884864,10%,200.0,boore,0.8093951574623821,5.686975539292298,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.71072333,125.7417964,DSA,15.97159958,5.087552953941101,10%,200.0,boore,0.8149499365792884,5.843464942861836,9.60667750768198,weight_sensitivity,Moderate,0.3,0.5,0.2
48.7016678,125.8078794,DSA,15.97159958,3.297283286456445,10%,200.0,boore,0.8135522006955791,2.209608242748075,9.742067524368668,weight_sensitivity,Moderate,0.3,0.5,0.2
48.69258207,125.8739437,DSA,15.97159958,3.278961938763252,10%,200.0,boore,0.8325049396729333,2.2179467293852446,9.601185460843748,weight_sensitivity,Moderate,0.3,0.5,0.2
48.68346615,125.9399892,DSA,15.97159958,3.324018439107748,10%,200.0,boore,0.8367892904909345,2.2263067491111195,9.79914138702454,weight_sensitivity,Moderate,0.3,0.5,0.2
48.67432005,126.0060159,DSA,15.97159958,3.1775739047599307,10%,200.0,boore,0.8532387310237431,2.2346954786198587,9.021272730714394,weight_sensitivity,Moderate,0.3,0.5,0.2
48.66514379,126.0720238,DSA,15.97159958,3.3867893323142075,10%,200.0,boore,0.8841214551969795,2.243105791510228,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.65593737,126.1380127,DSA,15.97159958,3.396417299473106,10%,200.0,boore,0.902157676741619,2.2515399929012405,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.64670081,126.2039827,DSA,15.97159958,3.4093069311692585,10%,200.0,boore,0.931025358828076,2.2599986470416717,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.6374341,126.2699337,DSA,15.97159958,3.423242009726628,10%,200.0,boore,0.9633323674424764,2.2684845989877704,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.62813727,126.3358656,DSA,15.97159958,3.4365023418345086,10%,200.0,boore,0.9933503475233388,2.276994475155014,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.61881032,126.4017784,DSA,15.97159958,3.457879119544737,10%,200.0,boore,1.04789786489008,2.287019520155426,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.76454629,125.0004909,DSA,28.50629997,3.5136967226194713,10%,200.0,boore,1.0278729406644838,2.410669680840252,10.0,weight_sensitivity,Moderate,0.3,0.5,0.2
48.75582779,125.0667325,DSA,30.69000053,3.3418648406887406,10%,200.0,boore,1.000248789976976,2.464843466049612,9.046842353354208,weight_sensitivity,Moderate,0.3,0.5,0.2
48.74707901,125.1329559,DSA,33.46770096,3.2924584680504365,10%,200.0,boore,0.971717946868862,2.479938658451184,8.804868773820928,weight_sensitivity,Moderate,0.3,0.5,0.2
48.73829995,125.1991613,DSA,40.7057991,3.369627517246359,10%,200.0,boore,0.9404811026778026,2.463586212525344,9.27845040090173,weight_sensitivity,Moderate,0.3,0.5,0.2
48.72949063,125.2653485,DSA,40.7057991,3.443984088057368,10%,200.0,boore,0.9082768043202184,2.3717501012854525,9.928129980592882,weight_sensitivity,Moderate,0.3,0.5,0.2
48.72065106,125.3315174,DSA,39.61059952,3.333348852809786,10%,200.0,boore,0.8685709025322395,2.3192944104431734,9.565651884142635,weight_sensitivity,Moderate,0.3,0.5,0.2
48.71178124,125.3976681,DSA,40.69910049,3.7317199043520333,10%,200.0,boore,0.8489727760508237,3.243344217220217,9.27677981463339,weight_sensitivity,Moderate,0.3,0.5,0.2
